,IDHM,IDHM Educação,IDHM Renda,IDHM Longevidade,Nome_Município,abstencao
417,0.619,0.548,0.574,0.753,BATURITÉ,52.42494226327945
418,0.638,0.571,0.585,0.778,BEBERIBE,50.967741935483865
419,0.623,0.598,0.533,0.76,BELA CRUZ,36.71641791044776
420,0.598,0.504,0.553,0.768,BOA VIAGEM,51.59059474412173
421,0.647,0.592,0.596,0.768,BREJO SANTO,54.44664031620553
422,0.62,0.578,0.565,0.729,CAMOCIM,55.28942115768463
423,0.63,0.556,0.584,0.769,CAMPOS SALES,40.91680814940577
424,0.612,0.526,0.571,0.765,CANINDÉ,47.05314009661836
425,0.592,0.505,0.528,0.779,CARIDADE,46.28099173553719
426,0.596,0.526,0.537,0.749,CARIRÉ,54.15549597855228
427,0.578,0.483,0.549,0.73,CARIRIAÇU,52.03045685279187
428,0.646,0.578,0.587,0.793,CASCAVEL,46.256486286137886
429,0.782,0.728,0.776,0.846,CASCAVEL,46.256486286137886
430,0.682,0.632,0.62,0.808,CAUCAIA,58.39243498817967
431,0.627,0.553,0.592,0.753,CEDRO,46.09571788413098
432,0.615,0.573,0.565,0.717,CEDRO,46.09571788413098
433,0.586,0.536,0.524,0.716,CHAVAL,39.79057591623037
434,0.61,0.568,0.526,0.758,COREAÚ,53.2608695652174
435,0.644,0.55,0.618,0.787,CRATEÚS,47.01931150293871
436,0.713,0.673,0.655,0.822,CRATO,47.8309232480534
437,0.632,0.586,0.573,0.752,CRUZ,55.182072829131656
438,0.701,0.621,0.7,0.794,EUSÉBIO,67.62452107279694
439,0.633,0.605,0.541,0.774,FARIAS BRITO,53.40501792114696
440,0.644,0.602,0.583,0.76,FORQUILHA,68.08510638297872
441,0.754,0.695,0.749,0.824,FORTALEZA,46.583312701163656
442,0.559,0.453,0.495,0.778,GRANJA,43.01732925586136
443,0.609,0.528,0.552,0.776,GUARACIABA DO NORTE,57.31056563500534
444,0.597,0.499,0.549,0.775,HIDROLÂNDIA,44.285714285714285
445,0.706,0.603,0.707,0.827,HIDROLÂNDIA,44.285714285714285
446,0.658,0.61,0.594,0.788,HORIZONTE,61.38132295719845
447,0.608,0.525,0.559,0.767,IBIAPINA,46.13333333333333
448,0.616,0.541,0.572,0.757,ICAPUÍ,45.4954954954955
449,0.606,0.536,0.568,0.731,ICÓ,46.827411167512686
450,0.677,0.599,0.642,0.808,IGUATU,47.448591012947446
451,0.703,0.637,0.672,0.812,IGUATU,47.448591012947446
452,0.632,0.592,0.561,0.759,INDEPENDÊNCIA,39.825581395348834
453,0.693,0.576,0.711,0.813,INDEPENDÊNCIA,39.825581395348834
454,0.618,0.532,0.583,0.762,IPU,41.25874125874126
455,0.605,0.557,0.526,0.755,IRAUÇUBA,68.65671641791045
456,0.626,0.548,0.583,0.768,ITAITINGA,55.74074074074075
457,0.64,0.613,0.562,0.761,ITAPIPOCA,49.38704028021016
458,0.606,0.558,0.529,0.753,ITAREMA,50.208623087621696
459,0.562,0.463,0.514,0.747,ITATIRA,54.3661971830986
460,0.612,0.535,0.552,0.776,JAGUARETAMA,51.72413793103448
461,0.621,0.543,0.58,0.76,JAGUARIBE,48.91975308641975
462,0.624,0.548,0.568,0.779,JAGUARUANA,35.5475763016158
463,0.614,0.542,0.547,0.779,JARDIM,51.93434935521688
464,0.712,0.595,0.718,0.845,JARDIM,51.93434935521688
465,0.652,0.625,0.614,0.723,JIJOCA DE JERICOACOARA,46.78899082568808
466,0.694,0.642,0.644,0.81,JUAZEIRO DO NORTE,49.126578876646064
467,0.598,0.511,0.541,0.772,JUCÁS,57.79122541603631
468,0.613,0.515,0.576,0.778,LAVRAS DA MANGABEIRA,46.50602409638554
