municipio;estado;codigo;Total_Alunos;Relacao_cadastrados;Casos_per_capita;Mortes_per_capita;Relacao_casos_mes;Relacao_obitos_mes;Diferenca_aprovacao;Diferenca_reprovacao;Diferenca_desistencia;diferenca
Floresta;Paraná;4107900.0;19.0;0.0028048420431059937;0.0584588131089459;0.0008857395925597;0.0129908473575435;0.0005904930617065;-3.5999999999999943;-3.2;6.8;12.171052631578943
São Roberto;Maranhão;2111672.0;15.0;0.002232475070695044;0.0419705313290668;0.0007441583568983;0.0002976633427593;0.0002976633427593;-7.599999999999994;-4.2;11.8;61.9047619047619
Pedra do Indaiá;Minas Gerais;3148905.0;3.0;0.0007552870090634441;0.0307150050352467;0.0007552870090634;0.0027693856998992;0.0002517623363544;0.0;0.0;0.0;37.03703703703703
Divinolândia de Minas;Minas Gerais;3122207.0;6.0;0.0007924976885484084;0.0089816404702152;0.0;0.0062078985602958;0.0001320829480914;12.5;-8.6;-3.9000000000000004;11.111111111111107
Mato Grosso;Paraíba;2509370.0;16.0;0.005502063273727648;0.0085969738651994;0.0003438789546079;0.0013755158184319;0.0;6.200000000000003;0.0;-6.2;33.088235294117645
Pequi;Minas Gerais;3149606.0;4.0;0.0009078529278256923;0.017703132092601;0.0002269632319564;0.0093054925102133;0.0;4.799999999999997;3.3;-8.1;56.25
Luzinópolis;Tocantins;1712454.0;5.0;0.0016087516087516086;0.0469755469755469;0.0006435006435006;0.0;0.0;-2.4000000000000057;0.0;2.4;32.97297297297297
Assunção do Piauí;Piauí;2201051.0;9.0;0.0011470813153199083;0.0200101962783584;0.0003823604384399;0.0010196278358399;0.0001274534794799;-6.200000000000003;-1.9999999999999998;8.2;33.777777777777786
Arroio do Padre;Rio Grande do Sul;4301073.0;7.0;0.002383384405856316;0.0245148110316649;0.0;0.003404834865509;0.0;4.099999999999994;-4.1;0.0;35.960591133004925
Pedra Grande;Rio Grande do Norte;2409506.0;2.0;0.0006178560395427865;0.0515909793018226;0.0003089280197713;0.0123571207908557;0.0;15.400000000000006;0.0;-15.4;57.142857142857146
Ibiracatu;Minas Gerais;3129657.0;8.0;0.0014814814814814814;0.0101851851851851;0.0;0.0053703703703703;0.0;5.900000000000006;-3.9;-2.0;32.758620689655174
Careaçu;Minas Gerais;3113602.0;10.0;0.001479946721918011;0.030486902471511;0.0005919786887672;0.0045878348379458;0.0001479946721918;3.5;-1.6;-1.9000000000000001;13.333333333333336
Minas do Leão;Rio Grande do Sul;4312252.0;16.0;0.001981424148606811;0.0196904024767801;0.0003715170278637;0.0024767801857585;0.0002476780185758;-3.5;-4.3;7.8;11.20689655172414
Guarda-Mor;Minas Gerais;3128600.0;15.0;0.0022796352583586625;0.0232522796352583;0.0;0.0045592705167173;0.0;2.9000000000000057;1.6;-4.5;-3.333333333333332
Urucuia;Minas Gerais;3170529.0;10.0;0.0005929439667951378;0.0052179069077972;0.0001778831900385;0.0007708271568336;0.0;-2.0;1.4;0.6000000000000005;16.363636363636367
Hulha Negra;Rio Grande do Sul;4309654.0;6.0;0.0008854781582054309;0.0177095631641086;0.0002951593860684;0.0070838252656434;0.0;-6.400000000000006;0.0;6.399999999999999;38.888888888888886
Conquista D'Oeste;Mato Grosso;5103361.0;9.0;0.002228826151560178;0.0262506191183754;0.0004952947003467;0.0059435364041604;0.0002476473501733;0.09999999999999432;-3.3;3.2;33.91812865497076
