municipio,PIB,IDHM,densidade,diferenca,estado,Casos_per_capita,Mortes_per_capita,Relacao_casos_mes,Relacao_obitos_mes,Diferenca_aprovacao,Diferenca_reprovacao
Tapauá,11309.44,0.502,0.19,22.513583746751703,Amazonas,0.0859174632781534,0.0008160410352063,0.0084518535789228,0.0002331545814875,4.5,-2.5
Tapejara,32376.98,0.703,27.4,28.6663896967179,Paraná,0.0259796359148411,0.0004936747917309,0.0053070040111076,6.17093489663684e-05,-2.0,1.1
Tapejara,51459.43,0.76,100.97,19.902534113060423,Rio Grande do Sul,0.07117083488864,0.000622122682593,0.0127742524159097,0.0001244245365186,-4.0,-3.5
Tapera,45504.26,0.747,58.91,20.23460410557185,Rio Grande do Sul,0.0458238851095993,0.0012282690854119,0.0127551020408163,0.0003779289493575,-19.40000000000001,0.0
Taperoá,7755.25,0.578,23.19,16.52777777777778,Paraíba,0.0164542143600416,0.0003251821019771,0.0023413111342351,6.503642039542144e-05,5.200000000000003,-2.1
Taperoá,8471.96,0.566,51.3,42.71412680756396,Bahia,0.0356363291259371,0.000711777545791,0.0055044130207839,4.745183638606814e-05,-71.2,-16.9
Tapes,21353.99,0.695,21.46,50.18975332068311,Rio Grande do Sul,0.0220231213872832,0.0009826589595375,0.0017341040462427,0.0001734104046242,1.3999999999999917,-12.2
Tapira,95435.06,0.712,4.05,25.694444444444443,Minas Gerais,0.0222082547663943,0.0002095118374188,0.0071234024722396,0.0,-4.700000000000003,-4.4
Tapira,23644.23,0.697,12.75,11.363636363636369,Paraná,0.0294276945296985,0.000541614009749,0.0081242101462357,0.0,-1.7999999999999972,0.0
Tapiratiba,20062.8,0.751,58.24,6.666666666666668,São Paulo,0.0266975308641975,0.0003086419753086,0.0080246913580246,0.0001543209876543,1.2000000000000028,-1.2
Tapiraí,18965.41,0.681,10.34,56.16883116883116,São Paulo,0.0268989368515434,0.0005123607019341,0.0046112463174074,0.0,2.9000000000000057,-2.9
Tapurah,64161.87,0.714,3.04,35.7905982905983,Mato Grosso,0.0796789492885808,0.0010215249908792,0.0118205034658883,0.0002918642831083,12.899999999999991,-1.0
Taquara,24898.78,0.727,125.51,21.09893744573531,Rio Grande do Sul,0.0371001983781714,0.0009222844812584,0.0085441826471304,0.000156614345874,1.4000000000000057,-2.9
Taquaral,13720.59,0.759,52.16,43.63636363636363,São Paulo,0.039843472073995,0.0007114905727499,0.0028459622909996,0.0,0.0,0.0
Taquaral de Goiás,20158.19,0.716,17.28,30.52109181141439,Goiás,0.0311703032020402,0.0005667327854916,0.0034003967129498,0.0,0.0,0.0
